ISCO,ISCO_title,SOC,SOC_title
7421,Electronics mechanics and servicers,49-1011,First-Line Supervisors of Mechanics Installers and Repairers
7421,Electronics mechanics and servicers,49-2011,Computer Automated Teller and Office Machine Repairers
7421,Electronics mechanics and servicers,49-2091,Avionics Technicians
7421,Electronics mechanics and servicers,49-2093,Electrical and Electronics Installers and Repairers Transportation Equipment
7421,Electronics mechanics and servicers,49-2094,Electrical and Electronics Repairers Commercial and Industrial Equipment
7421,Electronics mechanics and servicers,49-2095,Electrical and Electronics Repairers Powerhouse Substation and Relay
7421,Electronics mechanics and servicers,49-2096,Electronic Equipment Installers and Repairers Motor Vehicles
7422,Information and communications technology installers and servicers,49-1011,First-Line Supervisors of Mechanics Installers and Repairers
7422,Information and communications technology installers and servicers,49-2011,Computer Automated Teller and Office Machine Repairers
7422,Information and communications technology installers and servicers,49-2021,Radio Cellular and Tower Equipment Installers and Repairs
7422,Information and communications technology installers and servicers,49-2022,Telecommunications Equipment Installers and Repairers Except Line Installers
7422,Information and communications technology installers and servicers,49-2093,Electrical and Electronics Installers and Repairers Transportation Equipment
7422,Information and communications technology installers and servicers,49-9052,Telecommunications Line Installers and Repairers
7422 ,Information and communications technology installers and servicers,49-2097,Electronic Home Entertainment Equipment Installers and Repairers
7511,Butchers fishmongers and related food preparers,51-3021,Butchers and Meat Cutters
7511,Butchers fishmongers and related food preparers,51-3022,Meat Poultry and Fish Cutters and Trimmers
7511,Butchers fishmongers and related food preparers,51-3023,Slaughterers and Meat Packers
7511,Butchers fishmongers and related food preparers,51-3091 ,Food and Tobacco Roasting Baking and Drying Machine Operators and Tenders
7512,Bakers pastry-cooks and confectionery makers,51-3011,Bakers
7513,Dairy-products makers,51-3092 ,Food Batchmakers 
7513,Dairy-products makers,51-9012,Separating Filtering Clarifying Precipitating and Still Machine Setters Operators and Tenders
7514,Fruit vegetable and related preservers,51-3093,Food Cooking Machine Operators and Tenders
7514,Fruit vegetable and related preservers,51-3099,Food Processing Workers All Other
7515,Food and beverage tasters and graders,45-2011,Agricultural Inspectors
7515,Food and beverage tasters and graders,45-2041,Graders and Sorters Agricultural Products
7516,Tobacco preparers and tobacco products makers,45-2041,Graders and Sorters Agricultural Products
7516,Tobacco preparers and tobacco products makers,51-9041 ,Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders
7516,Tobacco preparers and tobacco products makers,51-9195,Molders Shapers and Casters Except Metal and Plastic
7521,Wood treaters,51-9051 ,Furnace Kiln Oven Drier and Kettle Operators and Tenders
7521,Wood treaters,51-9191,Adhesive Bonding Machine Operators and Tenders
7522,Cabinet-makers and related workers,51-7011,Cabinetmakers and Bench Carpenters
7522,Cabinet-makers and related workers,51-7021,Furniture Finishers
7522,Cabinet-makers and related workers,51-7031,Model Makers Wood
7522,Cabinet-makers and related workers,51-7032 ,Patternmakers Wood
7523,Woodworking-machine tool setters and operators,51-7042,Woodworking Machine Setters Operators and Tenders Except Sawing
7531,Tailors dressmakers furriers and hatters,51-6052,Tailors Dressmakers and Custom Sewers
7532,Garment and related pattern-makers and cutters,51-6062,Textile Cutting Machine Setters Operators and Tenders
7532,Garment and related pattern-makers and cutters,51-6092,Fabric and Apparel Patternmakers
7532,Garment and related pattern-makers and cutters,51-9031,Cutters and Trimmers Hand
7533,Sewing embroidery and related workers,49-9093,Fabric Menders Except Garment
7533,Sewing embroidery and related workers,51-6041,Shoe and Leather Workers and Repairers
7533,Sewing embroidery and related workers,51-6051,Sewers Hand
7534,Upholsterers and related workers,51-6093,Upholsterers
7535,Pelt dressers tanners and fellmongers,45-2041,Graders and Sorters Agricultural Products
7535,Pelt dressers tanners and fellmongers,51-6099,Textile Apparel and Furnishings Workers All Other
7536,Shoemakers and related workers,51-6041,Shoe and Leather Workers and Repairers
7541,Underwater divers,49-9092,Commercial Divers
7542,Shotfirers and blasters,47-5031,Explosives Workers Ordnance Handling Experts and Blasters
7543,Product graders and testers (excluding foods and beverages),51-9061 ,Inspectors Testers Sorters Samplers and Weighers
7544,Fumigators and other pest and weed controllers,37-1012,First-line Supervisor of Landscaping Lawn Service and Groundskeeping Workers
7544,Fumigators and other pest and weed controllers,37-2021 ,Pest Control Workers
7544,Fumigators and other pest and weed controllers,37-3012 ,Pesticide Handlers Sprayers and Applicators Vegetation
7549,Craft and related workers not elsewhere classified,27-1023 ,Floral Designers
7549,Craft and related workers not elsewhere classified,51-9083 ,Ophthalmic Laboratory Technicians
8111,Miners and quarriers,47-5021,Earth Drillers Except Oil and Gas
8111,Miners and quarriers,47-5041,Continuous Mining Machine Operators
8111,Miners and quarriers,47-5042,Mine Cutting and Channeling Machine Operators
8111,Miners and quarriers,47-5049,Mining Machine Operators All Other
8111,Miners and quarriers,47-5051,Rock Splitters Quarry
8111,Miners and quarriers,47-5061,Roof Bolters Mining
8111,Miners and quarriers,53-7032,Excavating and Loading Machine and Dragline Operators
8111,Miners and quarriers,53-7033,Loading Machine Operators Underground Mining
8112,Mineral and stone processing plant operators,51-9021,Crushing Grinding and Polishing Machine Setters Operators and Tenders
8112,Mineral and stone processing plant operators,51-9192 ,Cleaning Washing and Metal Pickling Equipment Operators and Tenders
8113,Well drillers and borers and related workers,47-5011,Derrick Operators Oil and Gas
8113,Well drillers and borers and related workers,47-5012,Rotary Drill Operators Oil and Gas
8113,Well drillers and borers and related workers,47-5013,Service Unit Operators Oil Gas and Mining
8113,Well drillers and borers and related workers,47-5021,Earth Drillers Except Oil and Gas
8113,Well drillers and borers and related workers,47-5071,Roustabouts Oil and Gas
8113,Well drillers and borers and related workers,53-7073,Wellhead Pumpers
8114,Cement stone and other mineral products machine operators,51-8099,Plant and System Operators All Other
8114,Cement stone and other mineral products machine operators,51-9021 ,Crushing Grinding and Polishing Machine Setters Operators and Tenders
8114,Cement stone and other mineral products machine operators,51-9023,Mixing and Blending Machine Setters Operators and Tenders
8114,Cement stone and other mineral products machine operators,51-9032 ,Cutting and Slicing Machine Setters Operators and Tenders
8121,Metal processing plant operators,51-4021,Extruding and Drawing Machine Setters Operators and Tenders Metal and Plastic
8121,Metal processing plant operators,51-4023,Rolling Machine Setters Operators and Tenders Metal and Plastic
8121,Metal processing plant operators,51-4051,Metal-Refining Furnace Operators and Tenders
8121,Metal processing plant operators,51-4052 ,Pourers and Casters Metal
8121,Metal processing plant operators,51-4191,Heat Treating Equipment Setters Operators and Tenders Metal and Plastic
8122,Metal finishing plating and coating machine operators,51-4193,Plating and Coating Machine Setters Operators and Tenders Metal and Plastic
8122,Metal finishing plating and coating machine operators,51-9121,Coating Painting and Spraying Machine Setters Operators and Tenders
8122,Metal finishing plating and coating machine operators,51-9192 ,Cleaning Washing and Metal Pickling Equipment Operators and Tenders
8131,Chemical products plant and machine operators,51-9011,Chemical Equipment Operators and Tenders
8131,Chemical products plant and machine operators,51-9012,Separating Filtering Clarifying Precipitating and Still Machine Setters Operators and Tenders
8131,Chemical products plant and machine operators,51-9195 ,Molders Shapers and Casters Except Metal and Plastic
8132,Photographic products machine operators,51-9151,Photographic Process Workers and Processing Machine Operators
8141,Rubber products machine operators,51-9021 ,Crushing Grinding and Polishing Machine Setters Operators and Tenders
8141,Rubber products machine operators,51-9041,Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders
8141,Rubber products machine operators,51-9051,Furnace Kiln Oven Drier and Kettle Operators and Tenders
8141,Rubber products machine operators,51-9195 ,Molders Shapers and Casters Except Metal and Plastic
8141,Rubber products machine operators,51-9197,Tire Builders
8142,Plastic products machine operators,51-2091,Fiberglass Laminators and Fabricators
8142,Plastic products machine operators,51-4021,Extruding and Drawing Machine Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4022,Forging Machine Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4023,Rolling Machine Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4031 ,Cutting Punching and Press Machine Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4032 ,Drilling and Boring Machine Tool Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4033,Grinding Lapping Polishing and Buffing Machine Tool Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4034 ,Lathe and Turning Machine Tool Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4035 ,Milling and Planing Machine Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4072 ,Molding Coremaking and Casting Machine Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4191,Heat Treating Equipment Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4193,Plating and Coating Machine Setters Operators and Tenders Metal and Plastic
8142,Plastic products machine operators,51-4199 ,Metal Workers and Plastic Workers All Other
8143,Paper products machine operators,51-9191,Adhesive Bonding Machine Operators and Tenders
8143,Paper products machine operators,51-9196 ,Paper Goods Machine Setters Operators and Tenders
8151,Fibre preparing spinning and winding machine operators,51-6064,Textile Winding Twisting and Drawing Out Machine Setters Operators and Tenders
8152,Weaving and knitting machine operators,51-6063,Textile Knitting and Weaving Machine Setters Operators and Tenders
8153,Sewing machine operators,51-6031 ,Sewing Machine Operators
8154,Bleaching dyeing and fabric cleaning machine operators,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders
8155,Fur and leather preparing machine operators,51-6099,Textile Apparel and Furnishings Workers All Other
8156,Shoemaking and related machine operators,51-6042,Shoe Machine Operators and Tenders
8157,Laundry machine operators,51-6011,Laundry and Dry-Cleaning Workers
8159,Textile fur and leather products machine operators not elsewhere classified,51-6099,Textile Apparel and Furnishings Workers All Other
8160,Food and related products machine operators,51-3091,Food and Tobacco Roasting Baking and Drying Machine Operators and Tenders
8160,Food and related products machine operators,51-3092,Food Batchmakers
8160,Food and related products machine operators,51-3093,Food Cooking Machine Operators and Tenders
8160,Food and related products machine operators,51-3099,Food Processing Workers All Other
8160,Food and related products machine operators,51-9041,Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders
8160,Food and related products machine operators,51-9193,Cooling and Freezing Equipment Operators and Tenders
8171,Pulp and papermaking plant operators,51-9192,Cleaning Washing and Metal Pickling Equipment Operators and Tenders
8171,Pulp and papermaking plant operators,51-9196,Paper Goods Machine Setters Operators and Tenders
8172,Wood processing plant operators,51-7041,Sawing Machine Setters Operators and Tenders Wood
8181,Glass and ceramics plant operators,51-6091 ,Extruding and Forming Machine Setters Operators and Tenders Synthetic and Glass Fibers
8181,Glass and ceramics plant operators,51-9021 ,Crushing Grinding and Polishing Machine Setters Operators and Tenders
8181,Glass and ceramics plant operators,51-9023 ,Mixing and Blending Machine Setters Operators and Tenders
8181,Glass and ceramics plant operators,51-9041,Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders
8181,Glass and ceramics plant operators,51-9051 ,Furnace Kiln Oven Drier and Kettle Operators and Tenders
8181,Glass and ceramics plant operators,51-9195,Molders Shapers and Casters Except Metal and Plastic
8182,Steam engine and boiler operators,51-8021,Stationary Engineers and Boiler Operators
8183,Packing bottling and labelling machine operators,51-9111,Packaging and Filling Machine Operators and Tenders
8189,Stationary plant and machine operators not elsewhere classified,51-9141,Semiconductor Processors
8189,Stationary plant and machine operators not elsewhere classified,51-9191,Adhesive Bonding Machine Operators and Tenders
8189,Stationary plant and machine operators not elsewhere classified,51-9193,Cooling and Freezing Equipment Operators and Tenders
8189,Stationary plant and machine operators not elsewhere classified,53-7011,Conveyor Operators and Tenders
8211,Mechanical machinery assemblers,51-2011,Aircraft Structure Surfaces Rigging and Systems Assemblers
8211,Mechanical machinery assemblers,51-2031,Engine and Other Machine Assemblers
8212,Electrical and electronic equipment assemblers,51-2021 ,Coil Winders Tapers and Finishers
8212,Electrical and electronic equipment assemblers,51-2022,Electrical and Electronic Equipment Assemblers
8212,Electrical and electronic equipment assemblers,51-2023,Electromechanical Equipment Assemblers
8212,Electrical and electronic equipment assemblers,51-2093,Timing Device Assemblers and Adjusters
8212,Electrical and electronic equipment assemblers,51-9194,Etchers and Engravers
8219,Assemblers not elsewhere classified,51-2092,Team Assemblers
8219,Assemblers not elsewhere classified,51-2099,Assemblers and Fabricators All Other
8311,Locomotive engine drivers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
8311,Locomotive engine drivers,53-4011,Locomotive Engineers
8311,Locomotive engine drivers,53-4012,Locomotive Firers
8311,Locomotive engine drivers,53-4013,Rail Yard Engineers Dinkey Operators and Hostlers
8311,Locomotive engine drivers,53-4041,Subway and Streetcar Operators
8311,Locomotive engine drivers,53-7111,Mine Shuttle Car Operators
8312,Railway brake signal and switch operators,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
8312,Railway brake signal and switch operators,53-4021,Railroad Brake Signal and Switch Operators
8312,Railway brake signal and switch operators,53-4031,Railroad Conductors and Yardmasters
8312,Railway brake signal and switch operators,53-4099,Rail Transportation Workers All Other
8321,Motorcycle drivers,43-5021,Couriers and Messengers
8321,Motorcycle drivers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
8321,Motorcycle drivers,53-3099,Motor Vehicle Operators All Other
8322,Car taxi and van drivers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
8322,Car taxi and van drivers,53-3011,Ambulance Drivers and Attendants Except Emergency Medical Technicians
8322,Car taxi and van drivers,53-3031 ,Driver/Sales Workers
8322,Car taxi and van drivers,53-3033,Light Truck or Delivery Services Drivers
8322,Car taxi and van drivers,53-3041,Taxi Drivers and Chauffeurs
8331,Bus and tram drivers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
8331,Bus and tram drivers,53-3021,Bus Drivers Transit and Intercity 
8331,Bus and tram drivers,53-3022,Bus Drivers School or Special Client 
8331,Bus and tram drivers,53-4041,Subway and Streetcar Operators
8332,Heavy truck and lorry drivers,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
8332,Heavy truck and lorry drivers,53-3032,Heavy and Tractor-Trailer Truck Drivers
8341,Mobile farm and forestry plant operators,45-2091,Agricultural Equipment Operators
8341,Mobile farm and forestry plant operators,45-4022,Logging Equipment Operators
8342,Earthmoving and related plant operators,47-2071,Paving Surfacing and Tamping Equipment Operators
8342,Earthmoving and related plant operators,47-2072,Pile-Driver Operators
8342,Earthmoving and related plant operators,47-2073,Operating Engineers and Other Construction Equipment Operators
8342,Earthmoving and related plant operators,53-7031,Dredge Operators
8342,Earthmoving and related plant operators,53-7032,Excavating and Loading Machine and Dragline Operators
8343,Crane hoist and related plant operators,39-3091 ,Amusement and Recreation Attendants
8343,Crane hoist and related plant operators,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
8343,Crane hoist and related plant operators,53-6011,Bridge and Lock Tenders
8343,Crane hoist and related plant operators,53-7021,Crane and Tower Operators
8343,Crane hoist and related plant operators,53-7041,Hoist and Winch Operators
8344,Lifting truck operators,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
8344,Lifting truck operators,53-7051 ,Industrial Truck and Tractor Operators
8350,Ships' deck crews and related workers,53-5011,Sailors and Marine Oilers
8350,Ships' deck crews and related workers,53-5022,Motorboat Operators
9111,Domestic cleaners and helpers,37-2012,Maids and Housekeeping Cleaners
9112,Cleaners and helpers in offices hotels and other establishments,37-2011,Janitors and Cleaners Except Maids and Housekeeping Cleaners
9112,Cleaners and helpers in offices hotels and other establishments,37-2012,Maids and Housekeeping Cleaners
9112,Cleaners and helpers in offices hotels and other establishments,53-7061,Cleaners of Vehicles and Equipment
9121,Hand launderers and pressers,51-6021,Pressers Textile Garment and Related Materials
9122,Vehicle cleaners,53-7061,Cleaners of Vehicles and Equipment
9123,Window cleaners,37-2011 ,Janitors and Cleaners Except Maids and Housekeeping Cleaners
9129,Other cleaning workers,37-2019,Building Cleaning Workers All Other
9129,Other cleaning workers,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners
9211,Crop farm labourers,45-2092,Farmworkers and Laborers Crop Nursery and Greenhouse
9211,Crop farm labourers,45-2099,Agricultural Workers All Other
9212,Livestock farm labourers,45-2093,Farmworkers Farm Ranch and Aquacultural Animals
9212,Livestock farm labourers,45-2099,Agricultural Workers All Other
9213,Mixed crop and livestock farm labourers,45-2092,Farmworkers and Laborers Crop Nursery and Greenhouse
9213,Mixed crop and livestock farm labourers,45-2093,Farmworkers Farm Ranch and Aquacultural Animals
9213,Mixed crop and livestock farm labourers,45-2099,Agricultural Workers All Other
9214,Garden and horticultural labourers,37-3011,Landscaping and Groundskeeping Workers
9214,Garden and horticultural labourers,37-3019,Grounds Maintenance Workers All Other
9214,Garden and horticultural labourers,45-2092,Farmworkers and Laborers Crop Nursery and Greenhouse
9215,Forestry labourers,45-4011 ,Forest and Conservation Workers
9215,Forestry labourers,45-4029 ,Logging Workers All Other
9216,Fishery and aquaculture labourers,45-2093,Farmworkers Farm Ranch and Aquacultural Animals
9216,Fishery and aquaculture labourers,45-3011,Fishers and Related Fishing Workers
9311,Mining and quarrying labourers,47-5081,Helpers--Extraction Workers
9311,Mining and quarrying labourers,47-5099,Extraction Workers All Other
9312,Civil engineering labourers,47-3019,Helpers Construction Trades All Other
9312,Civil engineering labourers,47-4051,Highway Maintenance Workers
9312,Civil engineering labourers,47-4061,Rail-Track Laying and Maintenance Equipment Operators
9313,Building construction labourers,47-2061,Construction Laborers
9313,Building construction labourers,47-3011,Helpers--Brickmasons Blockmasons Stonemasons and Tile and Marble Setters
9313,Building construction labourers,47-3012,Helpers--Carpenters
9313,Building construction labourers,47-3013,Helpers--Electricians
9313,Building construction labourers,47-3014,Helpers--Painters Paperhangers Plasterers and Stucco Masons
9313,Building construction labourers,47-3015,Helpers--Pipelayers Plumbers Pipefitters and Steamfitters
9313,Building construction labourers,47-3016,Helpers--Roofers
9313,Building construction labourers,47-3019,Helpers Construction Trades All Other
9321,Hand packers,53-7064,Packers and Packagers Hand
9329,Manufacturing labourers not elsewhere classified,51-9198,Helpers--Production Workers
9329,Manufacturing labourers not elsewhere classified,51-9199,Production Workers All Other
9329,Manufacturing labourers not elsewhere classified,53-7062,Laborers and Freight Stock and Material Movers Hand
9329,Manufacturing labourers not elsewhere classified,53-7063,Machine Feeders and Offbearers
9331,Hand and pedal vehicle drivers,43-5021,Couriers and Messengers
9331,Hand and pedal vehicle drivers,53-6099,Transportation Workers All Other
9331,Hand and pedal vehicle drivers,53-7199,Material Moving Workers All Other
9332,Drivers of animal-drawn vehicles and machinery,53-6099,Transportation Workers All Other
9332,Drivers of animal-drawn vehicles and machinery,53-7199,Material Moving Workers All Other
9333,Freight handlers,53-1011,Aircraft Cargo Handling Supervisors
9333,Freight handlers,53-1021,First-Line Supervisors of Helpers Laborers and Material Movers Hand
9333,Freight handlers,53-7062,Laborers and Freight Stock and Material Movers Hand
9333,Freight handlers,53-7121,Tank Car Truck and Ship Loaders
9334,Shelf fillers,43-5081 ,Stock Clerks and Order Fillers
9411,Fast food preparers,35-2011,Cooks Fast Food
9411,Fast food preparers,35-2015,Cooks Short Order
9412,Kitchen helpers,35-2021,Food Preparation Workers
9412,Kitchen helpers,35-9011 ,Dining Room and Cafeteria Attendants and Bartender Helpers
9412,Kitchen helpers,35-9021,Dishwashers
9412,Kitchen helpers,35-9099 ,Food Preparation and Serving Related Workers All Other
9510,Street and related service workers,39-9099,Personal Care and Service Workers All Other
9520,Street vendors (excluding food),41-9091,Door-to-Door Sales Workers News and Street Vendors and Related Workers
9611,Garbage and recycling collectors,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
9611,Garbage and recycling collectors,53-7081,Refuse and Recyclable Material Collectors
9612,Refuse sorters,53-7081,Refuse and Recyclable Material Collectors
9613,Sweepers and related labourers,37-3019,Grounds Maintenance Workers All Other
9621,Messengers package deliverers and luggage porters,39-6011,Baggage Porters and Bellhops
9621,Messengers package deliverers and luggage porters,43-5021,Couriers and Messengers
9622,Odd job persons,37-3019,Grounds Maintenance Workers All Other
9622,Odd job persons,49-9071 ,Maintenance and Repair Workers General
9622,Odd job persons,49-9098,Helpers--Installation Maintenance and Repair Workers
9622,Odd job persons,49-9099 ,Installation Maintenance and Repair Workers All Other
9623,Meter readers and vending-machine collectors,43-5041,Meter Readers Utilities
9623,Meter readers and vending-machine collectors,49-9091,Coin Vending and Amusement Machine Servicers and Repairers
9624,Water and firewood collectors,53-7062,Laborers and Freight Stock and Material Movers Hand
9629,Elementary workers not elsewhere classified,39-3021,Motion Picture Projectionists
9629,Elementary workers not elsewhere classified,39-3031,Ushers Lobby Attendants and Ticket Takers
9629,Elementary workers not elsewhere classified,39-3091 ,Amusement and Recreation Attendants
9629,Elementary workers not elsewhere classified,39-3093 ,Locker Room Coatroom and Dressing Room Attendants
9629,Elementary workers not elsewhere classified,53-6021,Parking Lot Attendants
